Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Grant DuBose	MIA	4	0.7	2	11	5.5	0	0	0	0	0	0	2
Chris Blair	ATL	2	0.4	1	17	17	0	0	0	0	0	0	3
Anthony Miller	BAL	1	0.2	1	16	16	0	0	0	0	0	0	2
Isaiah Williams	CIN	3	0.6	2	6	3	0	0	0	0	0	0	8
Casey Washington	ATL	2	0.4	1	14	14	0	0	0	0	0	0	2
Javon Baker	NE	4	0.8	1	12	12	0	0	0	0	0	0	10
Trent Taylor	SF	1	0.2	1	11	11	0	0	0	0	0	0	2
Brandon Johnson	PIT	1	0.2	1	9	9	0	0	0	0	0	0	3
Kendric Pryor	CIN	1	0.2	1	9	9	0	0	0	0	0	0	2
Ramel Keyton	LV	3	0.5	1	7	7	0	0	0	0	0	0	3
John Ross	PHI	2	0.5	1	6	6	0	0	0	0	0	0	1
Collin Johnson	CHI	2	0.4	1	6	6	0	0	0	0	0	0	6
Jaelon Darden	SEA	1	0.2	1	6	6	0	0	0	0	0	0	11
Robbie Chosen	MIA	4	0.7	1	5	5	0	0	0	0	0	0	1
Tyler Scott	CHI	1	0.2	1	5	5	0	0	0	0	0	0	11
Kameron Johnson	TB	1	0.2	0	0	0	0	0	2	11	0	0	5
Velus Jones Jr.	CAR	1	0.2	1	8	8	0	0	3	11	0	1	2
Brycen Tremayne	WAS	1	0.2	1	-2	-2	0	0	0	0	0	0	2
Jordan Matthews	CAR	1	0.2	0	0	0	0	0	0	0	0	0	2
Laquon Treadwell	IND	0	0	0	0	0	0	0	0	0	0	0	1
Alex Erickson	NE	0	0	0	0	0	0	0	0	0	0	0	3
Justin Hardee Sr.	TEN	0	0	0	0	0	0	0	0	0	0	0	4
Zach Pascal	ARI	0	0	0	0	0	0	0	0	0	0	0	3
Braxton Berrios	MIA	4	0.8	0	0	0	0	0	0	0	0	0	8
Equanimeous St. Brown	NO	0	0	0	0	0	0	0	0	0	0	0	1
Cody Thompson	TB	0	0	0	0	0	0	0	0	0	0	0	1
Quinton Bell	MIA	0	0	0	0	0	0	0	0	0	0	0	16
Deonte Harty	BAL	0	0	0	0	0	0	0	0	0	0	0	5
Jalen Guyton	LV	0	0	0	0	0	0	0	0	0	0	0	1
Tom Kennedy	DET	1	0.2	0	0	0	0	0	0	0	0	0	4
KJ Hamler	BUF	0	0	0	0	0	0	0	0	0	0	0	1
Justyn Ross	KC	1	0.2	0	0	0	0	0	0	0	0	0	2
Dez Fitzpatrick	LAC	0	0	0	0	0	0	0	0	0	0	0	1
Seth Williams	DAL	0	0	0	0	0	0	0	0	0	0	0	2
Avery Williams	ATL	0	0	0	0	0	0	0	0	0	0	0	17
Brandon Smith	NYJ	0	0	0	0	0	0	0	0	0	0	0	1
Erik Ezukanma	MIA	2	0.4	0	0	0	0	0	0	0	0	0	2
Skyy Moore	KC	3	0.6	0	0	0	0	0	0	0	0	0	6
Xavier Weaver	ARI	2	0.4	0	0	0	0	0	0	0	0	0	2
Justin Shorter	LV	0	0	0	0	0	0	0	0	0	0	0	7
Jalen Virgil	BUF	0	0	0	0	0	0	0	0	0	0	0	7
Montrell Washington	KC	0	0	0	0	0	0	0	0	0	0	0	1
Dareke Young	SEA	1	0.2	0	0	0	0	0	0	0	0	0	12
Kaden Davis	CLE	0	0	0	0	0	0	0	0	0	0	0	1
Tyreik McAllister	LV	0	0	0	0	0	0	0	2	11	0	0	2
Irv Charles	NYJ	1	0.2	0	0	0	0	0	0	0	0	0	11
Maurice Alexander	DET	0	0	0	0	0	0	0	0	0	0	0	2
Bryce Ford-Wheaton	NYG	0	0	0	0	0	0	0	0	0	0	0	6
Jalen Moreno-Cropper	DAL	0	0	0	0	0	0	0	0	0	0	0	1
Jared Wayne	HOU	0	0	0	0	0	0	0	0	0	0	0	3
Kazmeir Allen	WAS	0	0	0	0	0	0	0	0	0	0	0	1
Elijah Cooks	JAC	0	0	0	0	0	0	0	0	0	0	0	1
Brenden Rice	LAC	0	0	0	0	0	0	0	0	0	0	0	1
Joshua Cephus	JAC	0	0	0	0	0	0	0	0	0	0	0	1
Jaylen Johnson	LAC	0	0	0	0	0	0	0	0	0	0	0	1
Roman Wilson	PIT	0	0	0	0	0	0	0	0	0	0	0	1
Jermaine Jackson	NO	0	0	0	0	0	0	0	1	-1	0	0	4
Steven Sims Jr.	BAL	0	0	0	0	0	0	0	1	0	0	1	9
Kadarius Toney	CLE	1	0.2	0	0	0	0	0	2	-4	0	1	3
Jha'Quan Jackson	TEN	3	0.6	1	8	8	0	0	1	-5	0	2	12
Dee Williams	NYG	0	0	0	0	0	0	0	0	0	0	3	13
