Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Thomas Fidone II	NYG	0	0	0	0	0	0	0	0	0	0	0	2
Zach Davidson	NYG	0	0	0	0	0	0	0	0	0	0	0	1
Justin Shorter	LV	0	0	0	0	0	0	0	0	0	0	0	5
Nikola Kalinic	CHI	0	0	0	0	0	0	0	0	0	0	0	2
Teagan Quitoriano	ATL	0	0	0	0	0	0	0	0	0	0	0	15
Cameron Latu	PHI	0	0	0	0	0	0	0	0	0	0	0	15
Ko Kieft	TB	0	0	0	0	0	0	0	0	0	0	0	3
Brayden Willis	SF	1	0.2	0	0	0	0	0	0	0	0	0	6
Patrick Murtagh	DEN	0	0	0	0	0	0	0	0	0	0	0	1
Brady Russell	SEA	1	0.2	0	0	0	0	0	0	0	0	0	16
E.J. Jenkins	PHI	0	0	0	0	0	0	0	0	0	0	0	2
Travis Vokolek	ARI	0	0	0	0	0	0	0	0	0	0	0	3
Princeton Fant	DAL	0	0	0	0	0	0	0	0	0	0	0	1
Treyton Welch	NO	0	0	0	0	0	0	0	0	0	0	0	3
Hayden Rucci	MIA	0	0	0	0	0	0	0	0	0	0	0	4
CJ Dippre	NE	0	0	0	0	0	0	0	0	0	0	0	2
Robbie Ouzts	SEA	0	0	0	0	0	0	0	0	0	0	0	12
Jackson Meeks	DET	0	0	0	0	0	0	0	0	0	0	0	2
Zach Horton	DET	0	0	0	0	0	0	0	0	0	0	0	2
Nick Kallerup	SEA	1	0.2	0	0	0	0	0	0	0	0	0	9
