Rank	Player	Team	Pos	Avg Stars	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18
145	Brevin Jordan	HOU	TE	3.24	4	4	4	4	4	2	2	BYE	4	2	4	2	3	5	2	2	3	4
146	Lake McRee	PIT	TE	2.88	2	3	4	2	4	5	2	2	BYE	4	2	3	3	2	2	3	4	2
147	Jordan Akins	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
148	Hayden Rucci	SF	TE	3.12	2	3	4	3	3	5	2	BYE	4	4	3	3	2	2	4	3	2	4
149	CJ Dippre	NE	TE	3.29	3	3	2	4	4	4	3	3	3	3	BYE	4	4	3	3	4	3	3
150	Chris Manhertz	NYG	TE	3.12	4	2	4	4	5	2	3	BYE	2	5	2	4	2	3	2	3	4	2
151	Rivaldo Fairweather	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
152	Pharaoh Brown	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
153	Quintin Morris	JAC	TE	3.24	2	3	3	4	2	3	BYE	4	2	4	2	4	3	3	3	4	5	4
154	Zach Horton	DET	TE	3.18	2	4	4	3	4	BYE	3	3	3	3	5	3	2	4	3	2	3	3
155	Tre Watson	KC	TE	3.35	3	4	3	4	BYE	4	3	3	4	2	4	4	2	4	3	2	4	4
156	DJ Rogers	DAL	TE	3.06	2	5	2	3	5	3	2	4	4	2	4	2	3	BYE	2	2	2	5
157	Jaren Kanak	TEN	TE	3.12	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	3
158	Johnny Mundt	PHI	TE	3.24	5	4	3	2	2	3	4	5	2	BYE	3	4	4	4	3	3	2	2
159	Drake Dabney	GB	TE	3.12	3	4	2	5	3	4	3	3	3	3	BYE	2	2	4	3	3	3	3
160	Tanner Arkin	NE	TE	3.29	3	3	2	4	4	4	3	3	3	3	BYE	4	4	3	3	4	3	3
161	Quentin Moore	WAS	TE	2.88	2	4	3	4	2	2	BYE	2	2	2	4	4	4	3	2	3	2	4
162	Cam Grandy	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
163	Kenny Yeboah	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
164	Sean McKeon	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
165	Chris Myarick	LV	TE	3.12	3	4	2	3	3	4	2	4	2	3	3	2	BYE	4	3	4	4	3
Rank	Player	Team	Pos	Avg Stars	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18
1	Houston Texans		DST	2.88	2	4	1	2	5	2	3	BYE	4	5	1	3	3	4	2	2	1	5
2	Denver Broncos		DST	3.24	3	2	1	1	4	2	4	3	4	BYE	5	3	4	5	5	2	3	4
3	Los Angeles Rams		DST	2.59	1	3	2	2	2	4	5	4	4	4	BYE	1	3	1	2	2	2	2
4	Seattle Seahawks		DST	2.65	3	4	4	4	1	2	3	1	4	5	BYE	1	2	3	2	1	4	1
5	Philadelphia Eagles		DST	2.59	4	5	1	1	2	4	2	4	3	BYE	3	2	4	1	2	2	1	3
6	New England Patriots		DST	3	2	3	2	2	5	5	1	4	1	1	BYE	4	2	5	3	5	2	4
7	Minnesota Vikings		DST	2.29	1	1	2	4	4	BYE	1	1	2	1	1	3	4	3	1	4	5	1
8	Pittsburgh Steelers		DST	3.18	3	3	4	5	1	2	4	5	BYE	4	2	2	2	2	3	4	5	3
9	Jacksonville Jaguars		DST	2.82	5	2	3	4	2	2	BYE	1	3	5	3	5	1	3	2	2	4	1
10	Los Angeles Chargers		DST	2.88	4	5	2	2	2	3	BYE	1	2	3	5	3	2	5	1	4	3	2
11	Baltimore Ravens		DST	3.24	1	4	2	5	3	5	4	2	2	4	4	2	BYE	2	3	5	4	3
12	Green Bay Packers		DST	2.71	5	5	3	2	1	2	1	4	3	5	BYE	1	4	2	4	1	2	1
13	Kansas City Chiefs		DST	3.06	2	1	4	5	BYE	4	2	2	5	3	4	2	1	4	3	1	4	5
14	Detroit Lions		DST	3.12	4	2	5	4	4	BYE	1	5	4	3	2	1	3	5	5	3	1	1
15	Cleveland Browns		DST	3.29	2	2	4	3	5	3	5	3	4	2	BYE	5	4	3	3	3	1	4
16	Buffalo Bills		DST	3.06	2	1	4	3	1	5	BYE	3	5	5	4	3	3	1	1	2	4	5
17	New Orleans Saints		DST	3.12	1	3	5	3	5	3	3	BYE	5	4	1	4	1	4	2	4	3	2
18	San Francisco 49ers		DST	3	1	4	4	2	2	4	3	BYE	5	2	5	2	3	1	4	3	2	4
19	Indianapolis Colts		DST	3.29	3	3	2	4	3	5	5	2	2	4	2	3	BYE	2	5	4	5	2
20	Atlanta Falcons		DST	3	3	4	1	4	3	1	1	2	4	3	BYE	5	1	5	4	2	4	4
21	Chicago Bears		DST	2.76	4	5	2	5	1	3	3	2	2	BYE	4	1	2	4	2	1	1	5
