Player	Pos	School	College	Ht	Wt	40yd	Vertical	Bench	Broad Jump	3Cone	Shuttle	DraftTeam	DraftRound	DraftPick	DraftYear
Avery Smith	CB	Toledo	College Stats	5-11	196	4.54	38.5		125	7.03	4.46				
Tyreak Sapp	EDGE	Florida	College Stats	6-2	273			28							
Sawyer Robertson	QB	Baylor	College Stats	6-4	216	4.64	37.5		123	7.45	4.46				
Jaeden Roberts	G	Alabama	College Stats	6-5	333			25							
Chase Roberts	WR	BYU	College Stats	6-3	209	4.64	37		126						
Eric Rivers	WR	Georgia Tech	College Stats	5-10	176	4.35	37		127						
Mason Reiger	EDGE	Wisconsin	College Stats	6-5	251	4.78	40		125						
Desmond Reid	RB	Pittsburgh	College Stats	5-6	174										
Jack Pyburn	EDGE	LSU	College Stats	6-4	258										
Diego Pounds	OT	Mississippi	College Stats	6-6	325	5.15	30		112	7.9					
Patrick Payton	EDGE	LSU	College Stats	6-5	260										
Diego Pavia	QB	Vanderbilt	College Stats	5-10	207										
Xavier Nwankpa	SAF	Iowa	College Stats	6-3	208	4.48	37.5								
Le'Veon Moss	RB	Texas A&M	College Stats	5-11	203										
Ahmaad Moses	SAF	SMU	College Stats	5-9	196		38								
Lake McRee	TE	USC	College Stats	6-4	243			22							
Eric McAlister	WR	TCU	College Stats	6-4	194										
RJ Maryland	TE	SMU	College Stats	6-4	236	4.51	33		122						
Anthony Lucas	EDGE	USC	College Stats	6-6	256										
Deontae Lawson	LB	Alabama	College Stats	6-3	226										
Caullin Lacy	WR	Louisville	College Stats	5-9	183	4.55	33.5		116						
Miles Kitselman	TE	Tennessee	College Stats	6-5	251	4.9	34.5		116						
Nyjalik Kelly	EDGE	Central Florida	College Stats	6-5	256	4.88	37		119						
Xavian Sorey Jr.	LB	Arkansas	College Stats	6-2	228	4.63	37.5		120	7	4.42				
Marvin Jones Jr.	EDGE	Oklahoma	College Stats	6-5	245	4.69									
Robert Henry Jr.	RB	Texas-San Antonio	College Stats	5-9	196	4.52	37		124		4.31				
Vincent Anthony Jr.	EDGE	Duke	College Stats	6-6	258	4.84	32.5		123						
Vinny Anthony II	WR	Wisconsin	College Stats	6-0	183	4.54	34.5	15		6.86	4.07				
Aidan Hubbard	EDGE	Northwestern	College Stats	6-5	260			21							
Chris Hilton	WR	LSU	College Stats	6-0	188	4.41	34.5		122	7.25	4.41				
Roman Hemby	RB	Indiana	College Stats	6-0	207										
Owen Heinecke	LB	Oklahoma	College Stats	6-2	227	4.62	34.5		119	7.15					
Zxavian Harris	DT	Mississippi	College Stats	6-8	330										
Jaylon Guilbeau	CB	Texas	College Stats	5-11	190										
Eric Gentry	LB	USC	College Stats	6-7	221										
Bishop Fitzgerald	SAF	USC	College Stats	5-11	201	4.55	33	12							
Logan Fano	EDGE	Utah	College Stats	6-5	257										
Rahsul Faison	RB	South Carolina	College Stats	5-11	208		37.5		122						
Joe Fagnano	QB	Connecticut	College Stats	6-3	226	4.83	35		118		4.35				
Fa'alili Fa'amoe	OT	Wake Forest	College Stats	6-5	311		28.5		104						
CJ Donaldson	RB	Ohio St.	College Stats	6-2	230										
Thaddeus Dixon	CB	North Carolina	College Stats	6-1	195		39.5		125						
Garrett DiGiorgio	G	UCLA	College Stats	6-7	319	5.36	29.5	24	106						
Jalon Daniels	QB	Kansas	College Stats	6-1	219	4.65									
Dontay Corleone	DT	Cincinnati	College Stats	6-1	340										
Jeff Caldwell	WR	Cincinnati	College Stats	6-5	216	4.31	42		134						
Wesley Bissainthe	LB	Miami	College Stats	6-2	225										
Dillon Bell	WR	Georgia	College Stats	6-1	209	4.5	39		126						
Lander Barton	LB	Utah	College Stats	6-5	233										
Cameron Ball	DT	Arkansas	College Stats	6-4	310	5.13	32		109	8.02	4.76				
Aaron Anderson	WR	LSU	College Stats	5-8	191		30		113						
Luke Altmyer	QB	Illinois	College Stats	6-2	210	4.72	32		114						
Marcus Allen	CB	North Carolina	College Stats	6-2	187	4.5	39		123						
Chris Adams	OT	Memphis	College Stats	6-5	311										
