PLAYER	POS	TEAM	GAMES	SNAPS	SNAPS/GM	SNAP %	RUSH %	TGT %	TOUCH %	UTIL %
Mo Alie-Cox	TE	IND	17	419	25	39	0	5	3	5
Luke Farrell	TE	SF	17	404	24	36	0	3	3	3
Jakobie Keeney-James	WR	GB	1	48	48	94	0	4	4	4
Noah Gray	TE	KC	16	545	34	52	0	7	4	7
Anthony Firkser	TE	DET	7	187	27	40	0	5	4	5
Luke Schoonmaker	TE	DAL	17	391	23	33	0	6	4	6
Julian Hill	TE	MIA	14	441	32	55	0	5	3	5
Adam Trautman	TE	DEN	17	651	38	57	0	4	3	4
Mason Tipton	WR	NO	13	297	23	35	1	6	5	7
Konata Mumpfield	WR	LAR	17	375	22	33	0	6	3	6
Ray-Ray McCloud III	WR	NYG	6	211	35	52	0	7	3	7
Dont'e Thornton Jr.	WR	LV	15	399	27	45	0	8	3	8
Grant Calcaterra	TE	PHI	15	380	25	40	0	3	2	3
John Bates	TE	WAS	15	479	32	51	0	3	2	3
Drew Sample	TE	CIN	17	595	35	54	0	3	3	4
Nick Westbrook-Ikhine	WR	MIA	15	386	26	44	0	5	3	5
Johnny Mundt	TE	JAC	16	389	24	36	0	5	2	5
Foster Moreau	TE	NO	11	253	23	35	0	4	3	4
Clayton Tune	QB	GB	2	59	30	60	8	0	34	34
Cooper Rush	QB	BAL	4	116	29	50	3	0	48	48
Jalin Hyatt	WR	NYG	7	171	24	34	0	8	3	8
Xavier Weaver	WR	ARI	9	272	30	45	0	5	3	5
Tip Reiman	TE	ARI	4	98	25	37	0	5	3	5
Max Brosmer	QB	MIN	7	178	25	44	4	0	44	44
Cedrick Wilson Jr.	WR	MIA	10	206	21	35	0	4	2	4
Alec Ingold	RB	MIA	17	363	21	37	1	3	3	4
Brandon Allen	QB	TEN	1	49	49	91	0	0	61	61
Arian Smith	WR	NYJ	16	376	24	38	1	4	3	5
Eric Saubert	TE	SEA	11	276	25	40	0	3	1	3
Shane Zylstra	TE	DET	5	164	33	48	0	3	2	3
Andre Baccellia	WR	ARI	4	92	23	32	0	4	2	4
Drake Dabney	TE	GB	2	52	26	53	0	4	2	4
Charlie Woerner	TE	ATL	17	565	33	52	0	2	1	2
Tucker Fisk	TE	LAC	10	233	23	34	0	2	1	2
Patrick Ricard	RB	BAL	11	274	25	41	0	1	1	1
Payne Durham	TE	TB	17	354	21	31	0	1	0	1
Russell Gage Jr.	WR	SF	1	28	28	37	0	0	0	0
